Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login,Edge Chromium 123,,,21-04-2024 15:09:19,21-04-2024 15:09:30,11.187s,PASSED
,,,,,,,
Test Cases/Login,Edge Chromium 123,,,21-04-2024 15:09:19,21-04-2024 15:09:30,10.811s,PASSED
"openBrowser("""")",Edge Chromium 123,,,21-04-2024 15:09:20,21-04-2024 15:09:25,5.610s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 123,,,21-04-2024 15:09:25,21-04-2024 15:09:26,1.105s,PASSED
"click(findTestObject(""Object Repository/PetStore/Page_JPetStore Demo/a_Enter the Store""))",Edge Chromium 123,,,21-04-2024 15:09:26,21-04-2024 15:09:28,1.515s,PASSED
"click(findTestObject(""Object Repository/PetStore/Page_JPetStore Demo/a_Sign In""))",Edge Chromium 123,,,21-04-2024 15:09:28,21-04-2024 15:09:28,0.593s,PASSED
"setText(findTestObject(""Object Repository/PetStore/Page_JPetStore Demo/input_Need a user name and password_username""), ""j2ee"")",Edge Chromium 123,,,21-04-2024 15:09:28,21-04-2024 15:09:29,0.752s,PASSED
"click(findTestObject(""Object Repository/PetStore/Page_JPetStore Demo/input_Need a user name and password_signon""))",Edge Chromium 123,,,21-04-2024 15:09:29,21-04-2024 15:09:30,0.663s,PASSED
